cnt, cg_residual
589,0.00140294
590,0.00144019
591,0.00141845
592,0.00132559
593,0.00139009
594,0.0013711
595,0.00136105
596,0.0013404
597,0.00130527
598,0.00130209
599,0.00124779
600,0.00123831
601,0.00124287
602,0.00128871
603,0.0012813
604,0.00127978
605,0.00128691
606,0.00124731
607,0.00122293
608,0.00119276
609,0.00113948
610,0.00117624
611,0.00115406
612,0.00108025
613,0.00107253
614,0.00105718
615,0.00105864
616,0.000989267
617,0.00106434
618,0.00105349
619,0.00107596
620,0.00105521
621,0.00104766
622,0.00103318
623,0.00101948
624,0.00102408
625,0.00104509
626,0.000956107
627,0.00102462
628,0.000993176
629,0.000992068
630,0.000951939
631,0.000928933
632,0.000988055
633,0.000855211
634,0.00097186
635,0.000945435
636,0.000930495
637,0.000901413
638,0.000882525
639,0.000885558
640,0.000883816
641,0.000872083
642,0.000839231
643,0.000841566
644,0.000804584
645,0.000777999
646,0.00077574
647,0.000789402
648,0.000748064
649,0.000767866
650,0.000790738
651,0.000601009
652,0.000804517
653,0.000784851
654,0.00077284
655,0.000771308
656,0.000736171
657,0.000702797
658,0.000685719
659,0.000618685
660,0.000684422
661,0.000676992
662,0.00066335
663,0.000650503
664,0.000603063
665,0.000641502
666,0.000655258
667,0.00059784
668,0.00055709
669,0.000575169
670,0.000625253
671,0.00060571
672,0.000567832
673,0.0005835
674,0.000581648
675,0.00057292
676,0.000560444
677,0.000560157
678,0.000560991
679,0.000552336
680,0.000534039
681,0.000480729
682,0.000523646
683,0.000537349
684,0.000551375
685,0.000473311
686,0.00050936
687,0.000501388
688,0.000505711
689,0.000508012
690,0.000500667
691,0.000494025
692,0.000487363
693,0.000433133
694,0.000474451
695,0.00046671
696,0.000460296
697,0.000405048
698,0.000454274
699,0.000461637
700,0.000457148
701,0.000432874
702,0.000364006
703,0.000435419
704,0.000435096
705,0.000427925
706,0.000414966
707,0.000399174
708,0.000398199
709,0.000393574
710,0.000320502
711,0.000381125
712,0.000366711
713,0.00036063
714,0.000367253
715,0.000363893
716,0.000360348
717,0.000366457
718,0.000364416
719,0.000343778
720,0.000360479
721,0.000337377
722,0.000299721
723,0.000333039
724,0.000338462
725,0.000334908
726,0.000333413
727,0.00026597
728,0.000335186
729,0.000320093
730,0.00030217
731,0.000317096
732,0.00030164
733,0.000295362
734,0.000297235
735,0.00029705
736,0.000261953
737,0.000297439
738,0.00028966
739,0.0002769
740,0.000276527
741,0.00028743
742,0.000286963
743,0.000276866
744,0.000247655
745,0.000274243
746,0.000237774
747,0.000266649
748,0.000266053
749,0.000262859
750,0.000250382
751,0.000245153
752,0.000235384
753,0.000241895
754,0.000239057
755,0.000230723
756,0.00022025
757,0.000225725
758,0.000226784
759,0.000220532
760,0.000204287
761,0.000214411
762,0.000198098
763,0.000209724
764,0.000214461
765,0.000211783
766,0.000207646
767,0.000205492
768,0.000201462
769,0.000189826
770,0.000194655
771,0.000190723
772,0.000188617
773,0.000177579
774,0.000161742
775,0.000177197
776,0.000180437
777,0.000175334
778,0.000166819
779,0.000172171
780,0.000170965
781,0.000167387
782,0.000168444
783,0.000169714
784,0.000167762
785,0.000136292
786,0.00016423
787,0.000159339
788,0.000153427
789,0.000152094
790,0.000154149
791,0.000150445
792,0.00014922
793,0.000133157
794,0.000128319
795,0.000149437
796,0.000143722
797,0.00013818
798,0.000142617
799,0.000137739
800,0.000131366
801,0.000121476
802,0.000123409
803,0.000125225
804,0.000130413
805,0.000132576
806,0.000129357
807,0.000124534
808,0.00012195
809,0.000110764
810,0.000114048
811,0.000117985
812,0.000120587
813,0.000117181
814,0.000116019
815,0.000114251
816,0.00011228
817,0.000111986
818,0.000100195
819,0.000110493
820,0.000108359
821,0.000106826
822,0.000104838
823,9.85113e-05
824,8.80432e-05
825,9.37889e-05
826,9.48269e-05
827,9.44335e-05
828,9.9105e-05
829,9.78064e-05
830,9.66094e-05
831,9.54738e-05
832,9.53498e-05
833,9.54231e-05
834,9.12928e-05
835,8.95523e-05
836,8.82536e-05
837,8.48545e-05
838,8.64157e-05
839,8.63151e-05
840,8.60023e-05
841,8.00953e-05
842,8.33831e-05
843,8.23874e-05
844,8.4809e-05
845,8.57614e-05
846,8.13081e-05
847,7.9941e-05
848,7.83867e-05
849,7.63826e-05
850,7.43723e-05
851,6.90148e-05
852,7.21612e-05
853,7.12853e-05
854,7.16233e-05
855,7.08495e-05
856,6.83399e-05
857,5.99632e-05
858,6.72122e-05
859,6.7161e-05
860,6.58224e-05
861,6.70404e-05
862,6.67194e-05
863,6.72695e-05
864,6.4797e-05
865,6.28918e-05
866,6.29136e-05
867,6.152e-05
868,6.09386e-05
869,6.00985e-05
870,5.89177e-05
871,5.76397e-05
872,5.63345e-05
873,5.08383e-05
874,5.57529e-05
875,5.24155e-05
876,4.70833e-05
877,5.03198e-05
878,5.38513e-05
879,5.1851e-05
880,4.95468e-05
881,5.32358e-05
882,5.36892e-05
883,5.17699e-05
884,4.45341e-05
885,5.01643e-05
886,4.97542e-05
887,4.96415e-05
888,4.84745e-05
889,4.28088e-05
890,4.63878e-05
891,4.70387e-05
892,4.69099e-05
893,4.64006e-05
894,4.60834e-05
895,4.62578e-05
896,4.56086e-05
897,4.47522e-05
898,4.38403e-05
899,4.3902e-05
900,4.27842e-05
901,4.32002e-05
